SERIAL,REF,QUESTNNR,MODE,STARTED,BG02,EW01_01,EW01_02,EW01_03,EW01_04,EW01_05,EW01_06,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,PID
NA,7,base,interview,2023-02-22T13:48:36Z,NA,51,31,42,53,43,51,2,NA,NA,NA,36,8,46,NA,2023-02-22T13:49:22Z,TRUE,FALSE,6,6,7
NA,228,base,interview,2023-02-22T13:51:37Z,NA,76,66,73,49,70,42,2,NA,NA,NA,6,5,13,NA,2023-02-22T13:51:50Z,TRUE,FALSE,6,6,228
NA,7,base,interview,2023-02-22T13:54:56Z,NA,83,49,63,60,48,71,3,NA,NA,NA,10,12,25,NA,2023-02-22T13:55:21Z,TRUE,FALSE,6,6,7
NA,1034,base,interview,2023-02-22T14:01:38Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",5,2,3,2,2,1,4,NA,NA,11,57,187,259,NA,2023-02-22T14:05:57Z,TRUE,FALSE,6,6,1034
NA,792,base,interview,2023-02-22T14:02:02Z,NA,49,45,50,51,43,54,4,NA,NA,NA,18,387,47,NA,2023-02-22T14:08:51Z,TRUE,FALSE,6,6,792
NA,801,base,interview,2023-02-22T14:03:05Z,NA,51,51,62,63,49,70,8,NA,NA,NA,46,13,67,NA,2023-02-22T14:04:12Z,TRUE,FALSE,6,6,801
NA,699,base,interview,2023-02-22T14:05:02Z,NA,21,20,14,6,7,8,13,NA,NA,NA,50,NA,63,NA,2023-02-22T14:06:05Z,FALSE,FALSE,5,5,699
NA,733,base,interview,2023-02-22T14:06:56Z,NA,6,4,5,5,9,10,2,NA,NA,NA,35,525,62,NA,2023-02-22T14:16:18Z,TRUE,FALSE,6,6,733
NA,656,base,interview,2023-02-22T14:07:17Z,NA,-9,1,-9,-9,-9,-9,13,NA,NA,NA,23,91,127,NA,2023-02-22T14:09:24Z,TRUE,FALSE,6,6,656
NA,541,base,interview,2023-02-22T14:07:30Z,NA,41,41,41,51,43,47,8,NA,NA,NA,64,6,78,NA,2023-02-22T14:08:48Z,TRUE,FALSE,6,6,541
NA,537,base,interview,2023-02-22T14:07:42Z,NA,-9,61,45,61,61,20,1,NA,NA,NA,41,624,67,NA,2023-02-22T14:18:48Z,TRUE,FALSE,6,6,537
NA,550,base,interview,2023-02-22T14:07:50Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,49,-9,-9,15,-9,-9,4,NA,NA,8,37,89,138,NA,2023-02-22T14:10:08Z,TRUE,FALSE,6,6,550
NA,706,base,interview,2023-02-22T14:07:52Z,NA,51,57,71,54,70,76,2,NA,NA,NA,97,49,148,NA,2023-02-22T14:10:20Z,TRUE,FALSE,6,6,706
NA,553,base,interview,2023-02-22T14:07:53Z,NA,-9,-9,-9,-9,1,-9,10,NA,NA,NA,46,95,151,NA,2023-02-22T14:10:24Z,TRUE,FALSE,6,6,553
NA,668,base,interview,2023-02-22T14:07:53Z,NA,52,58,45,42,30,30,12,NA,NA,NA,71,NA,83,NA,2023-02-22T14:09:16Z,FALSE,FALSE,5,5,668
NA,907,base,interview,2023-02-22T14:08:22Z,NA,57,71,36,71,65,38,3,NA,NA,NA,53,134,190,NA,2023-02-22T14:11:32Z,TRUE,FALSE,6,6,907
NA,843,base,interview,2023-02-22T14:08:47Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",19,10,50,67,61,61,12,NA,NA,35,71,1595,114,NA,2023-02-22T14:37:20Z,TRUE,FALSE,6,6,843
NA,708,base,interview,2023-02-22T14:09:25Z,NA,33,17,17,15,20,21,2,NA,NA,NA,14,199,215,NA,2023-02-22T14:13:00Z,TRUE,FALSE,6,6,708
NA,656,base,interview,2023-02-22T14:09:48Z,NA,-9,-9,-9,-9,-9,-9,1,NA,NA,NA,7,NA,8,NA,2023-02-22T14:09:56Z,FALSE,FALSE,5,5,656
NA,629,base,interview,2023-02-22T14:09:57Z,NA,75,79,78,11,21,1,3,NA,NA,NA,51,10,64,NA,2023-02-22T14:11:01Z,TRUE,FALSE,6,6,629
NA,1022,base,interview,2023-02-22T14:10:05Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",57,59,52,53,56,54,3,NA,NA,3,24,19468,55,NA,2023-02-22T19:35:03Z,FALSE,FALSE,6,6,1022
NA,556,base,interview,2023-02-22T14:10:06Z,NA,62,61,41,58,1,1,5,NA,NA,NA,53,14,72,NA,2023-02-22T14:11:18Z,TRUE,FALSE,6,6,556
NA,557,base,interview,2023-02-22T14:10:06Z,NA,46,50,54,56,63,28,6,NA,NA,NA,53,12,71,NA,2023-02-22T14:11:17Z,TRUE,FALSE,6,6,557
NA,794,base,interview,2023-02-22T14:10:15Z,NA,1,21,-9,-9,-9,68,9,NA,NA,NA,19,14,42,NA,2023-02-22T14:10:57Z,TRUE,FALSE,6,6,794
NA,948,base,interview,2023-02-22T14:10:16Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",-9,-9,-9,-9,-9,-9,8,NA,NA,11,12,19,50,NA,2023-02-22T14:11:06Z,TRUE,FALSE,6,6,948
NA,627,base,interview,2023-02-22T14:10:25Z,NA,-9,-9,-9,-9,-9,-9,11,NA,NA,NA,28,55,94,NA,2023-02-22T14:11:59Z,TRUE,FALSE,6,6,627
NA,876,base,interview,2023-02-22T14:10:27Z,NA,13,6,11,-9,1,-9,8,NA,NA,NA,685,85,116,NA,2023-02-22T14:23:25Z,TRUE,FALSE,6,6,876
NA,897,base,interview,2023-02-22T14:10:34Z,NA,45,45,40,40,42,36,2,NA,NA,NA,28,53,83,NA,2023-02-22T14:11:57Z,TRUE,FALSE,6,6,897
NA,568,base,interview,2023-02-22T14:10:36Z,NA,66,56,81,81,41,41,12,NA,NA,NA,81,24,117,NA,2023-02-22T14:12:33Z,TRUE,FALSE,6,6,568
NA,875,base,interview,2023-02-22T14:10:38Z,NA,49,32,47,27,29,21,9,NA,NA,NA,139,16707,173,NA,2023-02-22T18:51:34Z,FALSE,FALSE,6,6,875
NA,814,base,interview,2023-02-22T14:10:39Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,51,41,51,51,61,51,5,NA,NA,5,81,6,97,NA,2023-02-22T14:12:16Z,TRUE,FALSE,6,6,814
NA,582,base,interview,2023-02-22T14:10:44Z,NA,64,69,70,65,77,56,3,NA,NA,NA,34,15,52,NA,2023-02-22T14:11:36Z,TRUE,FALSE,6,6,582
NA,553,base,interview,2023-02-22T14:10:51Z,NA,-9,-9,-9,-9,-9,-9,2,NA,NA,NA,5,NA,7,NA,2023-02-22T14:10:58Z,FALSE,FALSE,5,5,553
NA,575,base,interview,2023-02-22T14:10:56Z,NA,39,21,24,26,20,26,3,NA,NA,NA,35,6,44,NA,2023-02-22T14:11:40Z,TRUE,FALSE,6,6,575
NA,560,base,interview,2023-02-22T14:11:02Z,NA,66,65,40,11,12,16,7,NA,NA,NA,35,NA,42,NA,2023-02-22T14:11:44Z,FALSE,FALSE,5,5,560
NA,667,base,interview,2023-02-22T14:11:07Z,NA,31,12,7,1,1,1,8,NA,NA,NA,47,63,118,NA,2023-02-22T14:13:05Z,TRUE,FALSE,6,6,667
NA,572,base,interview,2023-02-22T14:11:14Z,NA,41,61,38,6,-9,17,2,NA,NA,NA,42,680,69,NA,2023-02-22T14:23:18Z,TRUE,FALSE,6,6,572
NA,919,base,interview,2023-02-22T14:11:14Z,NA,66,61,25,6,26,7,4,NA,NA,NA,76,92135,105,NA,2023-02-23T15:48:09Z,FALSE,FALSE,6,6,919
NA,654,base,interview,2023-02-22T14:11:32Z,NA,32,81,48,33,36,35,9,NA,NA,NA,53,74,136,NA,2023-02-22T14:13:48Z,TRUE,FALSE,6,6,654
NA,704,base,interview,2023-02-22T14:11:42Z,NA,51,71,41,61,51,46,8,NA,NA,NA,67,16,91,NA,2023-02-22T14:13:13Z,TRUE,FALSE,6,6,704
NA,554,base,interview,2023-02-22T14:11:44Z,NA,35,45,43,46,70,61,5,NA,NA,NA,40,91,136,NA,2023-02-22T14:14:00Z,TRUE,FALSE,6,6,554
NA,856,base,interview,2023-02-22T14:11:45Z,NA,37,-9,-9,1,35,93,6,NA,NA,NA,16,12,34,NA,2023-02-22T14:12:19Z,TRUE,FALSE,6,6,856
NA,548,base,interview,2023-02-22T14:11:46Z,NA,58,-9,-9,-9,-9,-9,6,NA,NA,NA,34,33,73,NA,2023-02-22T14:12:59Z,TRUE,FALSE,6,6,548
NA,873,base,interview,2023-02-22T14:11:47Z,NA,-9,101,-9,-9,-9,-9,7,NA,NA,NA,27,21,55,NA,2023-02-22T14:12:42Z,TRUE,FALSE,6,6,873
NA,854,base,interview,2023-02-22T14:11:47Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,50,41,10,1,21,12,12,NA,NA,14,45,15,86,NA,2023-02-22T14:13:13Z,TRUE,FALSE,6,6,854
NA,438,base,interview,2023-02-22T14:11:54Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",11,12,11,6,3,4,3,NA,NA,12,38,22,75,NA,2023-02-22T14:13:09Z,TRUE,FALSE,6,6,438
NA,582,base,interview,2023-02-22T14:12:17Z,NA,64,64,67,69,68,68,2,NA,NA,NA,18,360,45,NA,2023-02-22T14:18:37Z,FALSE,FALSE,6,6,582
NA,651,base,interview,2023-02-22T14:12:29Z,NA,37,39,39,21,21,22,4,NA,NA,NA,80,159,243,NA,2023-02-22T14:16:32Z,TRUE,FALSE,6,6,651
NA,848,base,interview,2023-02-22T14:12:32Z,NA,1,-9,-9,-9,-9,-9,9,NA,NA,NA,23,57,89,NA,2023-02-22T14:14:01Z,TRUE,FALSE,6,6,848
NA,647,base,interview,2023-02-22T14:12:33Z,NA,-9,-9,-9,-9,-9,-9,6,NA,NA,NA,22,2235017,53,NA,2023-03-20T11:03:18Z,FALSE,FALSE,6,6,647
NA,784,base,interview,2023-02-22T14:12:43Z,NA,-9,-9,-9,-9,-9,-9,7,NA,NA,NA,36,NA,43,NA,2023-02-22T14:13:26Z,FALSE,FALSE,5,5,784
NA,822,base,interview,2023-02-22T14:12:44Z,NA,10,101,40,61,30,30,12,NA,NA,NA,69,81,162,NA,2023-02-22T14:15:26Z,TRUE,FALSE,6,6,822
NA,808,base,interview,2023-02-22T14:12:47Z,NA,35,32,37,46,44,45,7,NA,NA,NA,21,27,55,NA,2023-02-22T14:13:42Z,TRUE,FALSE,6,6,808
NA,794,base,interview,2023-02-22T14:12:50Z,NA,1,-9,-9,-9,1,-9,10,NA,NA,NA,11,188,209,NA,2023-02-22T14:16:19Z,TRUE,FALSE,6,6,794
NA,550,base,interview,2023-02-22T14:12:59Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,-9,-9,-9,-9,-9,-9,2,NA,NA,2,12,30,46,NA,2023-02-22T14:13:45Z,FALSE,FALSE,6,6,550
NA,865,base,interview,2023-02-22T14:13:01Z,NA,-9,-9,-9,-9,-9,-9,16,NA,NA,NA,29,69,114,NA,2023-02-22T14:14:55Z,TRUE,FALSE,6,6,865
NA,923,base,interview,2023-02-22T14:13:03Z,NA,70,70,81,66,66,70,8,NA,NA,NA,55,42,105,NA,2023-02-22T14:14:48Z,TRUE,FALSE,6,6,923
NA,539,base,interview,2023-02-22T14:13:04Z,NA,101,-9,101,1,-9,-9,3,NA,NA,NA,20,NA,23,NA,2023-02-22T14:13:27Z,FALSE,FALSE,5,5,539
NA,563,base,interview,2023-02-22T14:13:05Z,NA,23,30,55,31,58,54,16,NA,NA,NA,53,9,78,NA,2023-02-22T14:14:23Z,TRUE,FALSE,6,6,563
NA,696,base,interview,2023-02-22T14:13:24Z,NA,-9,-9,36,-9,-9,1,2,NA,NA,NA,22,1554,49,NA,2023-02-22T14:39:42Z,TRUE,FALSE,6,6,696
NA,711,base,interview,2023-02-22T14:13:32Z,NA,73,76,55,11,44,1,9,NA,NA,NA,71,37,117,NA,2023-02-22T14:15:29Z,TRUE,FALSE,6,6,711
NA,704,base,interview,2023-02-22T14:13:37Z,NA,-9,-9,-9,-9,-9,-9,3,NA,NA,NA,9,39,51,NA,2023-02-22T14:14:28Z,TRUE,FALSE,6,6,704
NA,803,base,interview,2023-02-22T14:13:46Z,NA,33,-9,35,-9,-9,-9,2,NA,NA,NA,45,NA,47,NA,2023-02-22T14:14:33Z,FALSE,FALSE,5,5,803
NA,800,base,interview,2023-02-22T14:13:54Z,NA,9,11,10,13,11,7,2,NA,NA,NA,28,8023,55,NA,2023-02-22T16:28:07Z,TRUE,FALSE,6,6,800
NA,916,base,interview,2023-02-22T14:14:15Z,NA,-9,-9,-9,1,-9,-9,9,NA,NA,NA,51,36,96,NA,2023-02-22T14:15:51Z,TRUE,FALSE,6,6,916
NA,551,base,interview,2023-02-22T14:14:25Z,NA,47,52,55,37,20,39,5,NA,NA,NA,40,12,57,NA,2023-02-22T14:15:22Z,TRUE,FALSE,6,6,551
NA,856,base,interview,2023-02-22T14:14:26Z,NA,-9,-9,-9,-9,-9,-9,3,NA,NA,NA,8,121,132,NA,2023-02-22T14:16:38Z,TRUE,FALSE,6,6,856
NA,894,base,interview,2023-02-22T14:14:30Z,NA,-9,-9,-9,-9,-9,-9,6,NA,NA,NA,12,593050,43,NA,2023-03-01T10:58:58Z,FALSE,FALSE,6,6,894
NA,643,base,interview,2023-02-22T14:14:33Z,NA,3,6,3,4,5,3,3,NA,NA,NA,25,331,53,NA,2023-02-22T14:20:32Z,TRUE,FALSE,6,6,643
NA,675,base,interview,2023-02-22T14:14:53Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",30,31,23,11,11,25,8,NA,NA,15,76,32,131,NA,2023-02-22T14:17:04Z,TRUE,FALSE,6,6,675
NA,308,base,interview,2023-02-22T14:14:53Z,NA,70,43,30,64,52,42,5,NA,NA,NA,43,105,153,NA,2023-02-22T14:17:26Z,TRUE,FALSE,6,6,308
NA,758,base,interview,2023-02-22T14:14:56Z,NA,75,68,88,61,92,35,6,NA,NA,NA,72,110,188,NA,2023-02-22T14:18:04Z,TRUE,FALSE,6,6,758
NA,810,base,interview,2023-02-22T14:14:57Z,NA,61,61,30,21,16,31,5,NA,NA,NA,58,13,76,NA,2023-02-22T14:16:13Z,TRUE,FALSE,6,6,810
NA,880,base,interview,2023-02-22T14:15:04Z,NA,56,41,51,31,31,21,29,NA,NA,NA,81,157,242,NA,2023-02-22T14:19:31Z,TRUE,FALSE,6,6,880
NA,834,base,interview,2023-02-22T14:15:05Z,NA,18,12,46,39,38,48,11,NA,NA,NA,41,9,61,NA,2023-02-22T14:16:06Z,TRUE,FALSE,6,6,834
NA,781,base,interview,2023-02-22T14:15:08Z,NA,39,44,33,31,32,17,3,NA,NA,NA,31,7,41,NA,2023-02-22T14:15:49Z,TRUE,FALSE,6,6,781
NA,792,base,interview,2023-02-22T14:15:10Z,NA,51,53,46,52,56,57,2,NA,NA,NA,13,NA,15,NA,2023-02-22T14:15:25Z,FALSE,FALSE,5,5,792
NA,862,base,interview,2023-02-22T14:15:21Z,NA,31,41,70,87,91,75,9,NA,NA,NA,117,13,139,NA,2023-02-22T14:17:40Z,TRUE,FALSE,6,6,862
NA,557,base,interview,2023-02-22T14:15:42Z,NA,-9,-9,-9,-9,-9,-9,1,NA,NA,NA,7,18,26,NA,2023-02-22T14:16:08Z,TRUE,FALSE,6,6,557
NA,784,base,interview,2023-02-22T14:15:58Z,NA,1,-9,-9,-9,-9,-9,7,NA,NA,NA,9,NA,16,NA,2023-02-22T14:16:14Z,FALSE,FALSE,5,5,784
NA,869,base,interview,2023-02-22T14:16:00Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,43,22,22,57,11,5,10,NA,NA,10,38,70634,83,NA,2023-02-23T09:54:12Z,FALSE,FALSE,6,6,869
NA,849,base,interview,2023-02-22T14:16:05Z,NA,16,10,10,10,11,12,3,NA,NA,NA,29,26,58,NA,2023-02-22T14:17:03Z,TRUE,FALSE,6,6,849
NA,388,base,interview,2023-02-22T14:16:17Z,NA,-9,-9,-9,-9,-9,-9,4,NA,NA,NA,19,NA,23,NA,2023-02-22T14:16:40Z,FALSE,FALSE,5,5,388
NA,752,base,interview,2023-02-22T14:16:31Z,NA,-9,87,-9,-9,-9,-9,2,NA,NA,NA,12,53,67,NA,2023-02-22T14:17:38Z,TRUE,FALSE,6,6,752
NA,794,base,interview,2023-02-22T14:16:37Z,NA,-9,-9,-9,-9,-9,-9,23,NA,NA,NA,16,6,45,NA,2023-02-22T14:17:22Z,TRUE,FALSE,6,6,794
NA,680,base,interview,2023-02-22T14:16:41Z,NA,30,21,27,9,5,8,3,NA,NA,NA,40,15,58,NA,2023-02-22T14:17:39Z,TRUE,FALSE,6,6,680
NA,750,base,interview,2023-02-22T14:16:55Z,NA,-9,-9,39,-9,1,-9,3,NA,NA,NA,39,10571,67,NA,2023-02-22T17:13:48Z,TRUE,FALSE,6,6,750
NA,721,base,interview,2023-02-22T14:17:02Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,101,-9,-9,-9,-9,-9,1,NA,NA,12,10,7,30,NA,2023-02-22T14:17:32Z,TRUE,FALSE,6,6,721
NA,697,base,interview,2023-02-22T14:17:04Z,NA,68,14,59,18,20,12,5,NA,NA,NA,34,NA,39,NA,2023-02-22T14:17:43Z,FALSE,FALSE,5,5,697
NA,553,base,interview,2023-02-22T14:17:17Z,NA,1,-9,-9,-9,-9,-9,1,NA,NA,NA,10,NA,11,NA,2023-02-22T14:17:28Z,FALSE,FALSE,5,5,553
NA,774,base,interview,2023-02-22T14:17:18Z,NA,69,70,69,67,66,67,14,NA,NA,NA,30,19,63,NA,2023-02-22T14:18:21Z,TRUE,FALSE,6,6,774
NA,792,base,interview,2023-02-22T14:17:29Z,NA,48,43,46,47,50,42,1,NA,NA,NA,8,NA,9,NA,2023-02-22T14:17:38Z,FALSE,FALSE,5,5,792
NA,767,base,interview,2023-02-22T14:17:34Z,NA,43,-9,-9,-9,-9,53,2,NA,NA,NA,11,NA,13,NA,2023-02-22T14:17:47Z,FALSE,FALSE,5,5,767
NA,711,base,interview,2023-02-22T14:18:06Z,NA,72,68,42,19,31,1,4,NA,NA,NA,18315,12,39,NA,2023-02-22T19:23:37Z,FALSE,FALSE,6,6,711
NA,766,base,interview,2023-02-22T14:18:21Z,NA,-9,-9,-9,-9,-9,-9,1,NA,NA,NA,14,9,24,NA,2023-02-22T14:18:45Z,TRUE,FALSE,6,6,766
NA,560,base,interview,2023-02-22T14:18:21Z,NA,-9,-9,-9,-9,-9,-9,2,NA,NA,NA,11,3,16,NA,2023-02-22T14:18:37Z,TRUE,FALSE,6,6,560
NA,721,base,interview,2023-02-22T14:18:27Z,Ich möchte meine Daten nicht für wissenschaftliche Zwecke zur Verfügung stellen.,-9,101,101,-9,-9,101,1,NA,NA,3,6,464,35,NA,2023-02-22T14:26:21Z,TRUE,FALSE,6,6,721
NA,922,base,interview,2023-02-22T14:18:34Z,"Ich bin damit einverstanden, dass meine anonymisierten Daten und Nutzungsdaten aus Moodle unter den beschriebenen Bedingungen für wissenschaftliche Zwecke verwendet werden.",6,8,8,4,6,8,4,NA,NA,2,17,356,48,NA,2023-02-22T14:24:53Z,TRUE,FALSE,6,6,922
NA,731,base,interview,2023-02-22T14:18:41Z,NA,62,53,70,29,53,11,11,NA,NA,NA,82,10,103,NA,2023-02-22T14:20:25Z,TRUE,FALSE,6,6,731
NA,819,base,interview,2023-02-22T14:19:03Z,NA,51,51,51,51,61,11,20,NA,NA,NA,293,68,111,NA,2023-02-22T14:25:24Z,TRUE,FALSE,6,6,819
NA,622,base,interview,2023-02-22T14:19:06Z,NA,49,45,65,47,46,41,14,NA,NA,NA,69,49,132,NA,2023-02-22T14:21:18Z,TRUE,FALSE,6,6,622
NA,392,base,interview,2023-02-22T14:19:18Z,NA,50,67,15,17,25,15,4,NA,NA,NA,25,23706,54,NA,2023-02-22T20:54:53Z,TRUE,FALSE,6,6,392
NA,766,base,interview,2023-02-22T14:19:24Z,NA,60,50,56,31,22,19,2,NA,NA,NA,41,85399,68,NA,2023-02-23T14:03:26Z,FALSE,FALSE,6,6,766
NA,551,base,interview,2023-02-22T14:19:29Z,NA,-9,-9,-9,-9,-9,-9,2,NA,NA,NA,8,3,13,NA,2023-02-22T14:19:42Z,TRUE,FALSE,6,6,551
